MacroTrends Data Download,,
Gold Prices - 100 Year Historical Chart,,
Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base.,,
,,
"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice.",,
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, ",,
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable",,
for any damages relating to your use of the data provided.,,
,,
,,
date,real,nominal
1915-01-01,605.47,19.25
1915-02-01,611.51,19.25
1915-03-01,617.69,19.25
1915-04-01,611.51,19.25
1915-05-01,605.47,19.25
1915-06-01,605.47,19.25
1915-07-01,605.47,19.25
1915-08-01,605.47,19.25
1915-09-01,605.47,19.25
1915-10-01,599.52,19.25
1915-11-01,593.71,19.25
1915-12-01,593.71,19.25
1916-01-01,594.71,19.47
1916-02-01,594.71,19.47
1916-03-01,589.05,19.47
1916-04-01,583.5,19.47
1916-05-01,578.04,19.47
1916-06-01,572.69,19.47
1916-07-01,572.69,19.47
1916-08-01,567.43,19.47
1916-09-01,557.21,19.47
1916-10-01,547.34,19.47
1916-11-01,537.84,19.47
1916-12-01,533.19,19.47
1917-01-01,533.79,19.66
1917-02-01,520.46,19.66
1917-03-01,520.46,19.66
1917-04-01,495.67,19.66
1917-05-01,487.92,19.66
1917-06-01,480.41,19.66
1917-07-01,487.92,19.66
1917-08-01,480.41,19.66
1917-09-01,469.58,19.66
1917-10-01,462.62,19.66
1917-11-01,462.62,19.66
1917-12-01,455.88,19.66
1918-01-01,450.19,19.84
1918-02-01,447,19.84
1918-03-01,450.19,19.84
1918-04-01,443.84,19.84
1918-05-01,434.65,19.84
1918-06-01,428.74,19.84
1918-07-01,417.39,19.84
1918-08-01,409.26,19.84
1918-09-01,401.44,19.84
1918-10-01,393.9,19.84
1918-11-01,386.66,19.84
1918-12-01,381.98,19.84
1919-01-01,385.64,20.03
1919-02-01,392.77,20.03
1919-03-01,387.98,20.03
1919-04-01,381.01,20.03
1919-05-01,376.5,20.03
1919-06-01,376.5,20.03
1919-07-01,365.69,20.03
1919-08-01,359.5,20.03
1919-09-01,357.48,20.03
1919-10-01,351.55,20.03
1919-11-01,343.94,20.03
1919-12-01,336.66,20.03
1920-01-01,339.57,20.63
1920-02-01,336.08,20.63
1920-03-01,332.66,20.63
1920-04-01,322.84,20.63
1920-05-01,318.14,20.63
1920-06-01,313.58,20.63
1920-07-01,315.08,20.63
1920-08-01,322.84,20.63
1920-09-01,327.69,20.63
1920-10-01,329.32,20.63
1920-11-01,330.99,20.63
1920-12-01,337.82,20.63
1921-01-01,345.94,20.69
1921-02-01,357.21,20.69
1921-03-01,359.16,20.69
1921-04-01,363.13,20.69
1921-05-01,371.34,20.69
1921-06-01,373.43,20.69
1921-07-01,371.34,20.69
1921-08-01,371.34,20.69
1921-09-01,375.59,20.69
1921-10-01,375.59,20.69
1921-11-01,377.74,20.69
1921-12-01,379.91,20.69
1922-01-01,391.73,20.84
1922-02-01,391.73,20.84
1922-03-01,396.42,20.84
1922-04-01,396.42,20.84
1922-05-01,396.42,20.84
1922-06-01,396.42,20.84
1922-07-01,394.06,20.84
1922-08-01,398.82,20.84
1922-09-01,398.82,20.84
1922-10-01,396.42,20.84
1922-11-01,394.06,20.84
1922-12-01,391.73,20.84
1923-01-01,392.36,20.75
1923-02-01,392.36,20.75
1923-03-01,392.36,20.75
1923-04-01,390.04,20.75
1923-05-01,390.04,20.75
1923-06-01,387.76,20.75
1923-07-01,383.23,20.75
1923-08-01,385.47,20.75
1923-09-01,383.23,20.75
1923-10-01,381.01,20.75
1923-11-01,381.01,20.75
1923-12-01,381.01,20.75
1924-01-01,381.56,20.78
1924-02-01,383.79,20.78
1924-03-01,386.03,20.78
1924-04-01,388.32,20.78
1924-05-01,388.32,20.78
1924-06-01,388.32,20.78
1924-07-01,386.03,20.78
1924-08-01,388.32,20.78
1924-09-01,386.03,20.78
1924-10-01,383.79,20.78
1924-11-01,383.79,20.78
1924-12-01,381.56,20.78
1925-01-01,381.01,20.75
1925-02-01,383.23,20.75
1925-03-01,381.01,20.75
1925-04-01,383.23,20.75
1925-05-01,381.01,20.75
1925-06-01,376.67,20.75
1925-07-01,372.42,20.75
1925-08-01,372.42,20.75
1925-09-01,372.42,20.75
1925-10-01,372.42,20.75
1925-11-01,366.2,20.75
1925-12-01,368.25,20.75
1926-01-01,367.72,20.72
1926-02-01,367.72,20.72
1926-03-01,369.79,20.72
1926-04-01,367.72,20.72
