Date,PMI
2025-03,50.3
2025-02,50.9
2025-01,49.3
2024-12,48.4
2024-11,46.5
2024-10,47.2
2024-09,47.2
2024-08,46.8
2024-07,48.5
2024-06,48.7
2024-05,49.2
2024-04,50.3
2024-03,47.8
2024-02,49.1
2024-01,47.4
2023-12,46.7
2023-11,46.7
2023-10,49
2023-09,47.6
2023-08,46.4
2023-07,46
2023-06,46.9
2023-05,47.1
2023-04,46.3
2023-03,47.7
2023-02,47.4
2023-01,48.4
2022-12,49
2022-11,50.2
2022-10,50.9
2022-09,52.8
2022-08,52.8
2022-07,53
2022-06,56.1
2022-05,55.4
2022-04,57.1
2022-03,58.6
2022-02,57.6
2022-01,58.7
2021-12,61.1
2021-11,60.8
2021-10,61.1
2021-09,59.9
2021-08,59.5
2021-07,60.6
2021-06,61.2
2021-05,60.7
2021-04,64.7
2021-03,60.8
2021-02,58.7
2021-01,60.7
2020-12,57.5
2020-11,59.3
2020-10,55.4
2020-09,56
2020-08,54.2
2020-07,52.6
2020-06,43.1
2020-05,41.5
2020-04,49.1
2020-03,50.1
2020-02,50.9
2020-01,47.2
2019-12,48.1
2019-11,48.3
2019-10,47.8
2019-09,49.1
2019-08,51.2
2019-07,51.7
2019-06,52.1
2019-05,52.8
2019-04,55.3
2019-03,54.2
2019-02,56.6
2019-01,54.1
2018-12,59.3
2018-11,57.7
2018-10,59.8
2018-09,61.3
2018-08,58.1
2018-07,60.2
2018-06,58.7
2018-05,57.3
2018-04,59.3
2018-03,60.8
2018-02,59.1
2018-01,59.7
2017-12,58.2
2017-11,58.7
2017-10,60.8
2017-09,58.8
2017-08,56.3
2017-07,57.8
2017-06,54.9
2017-05,54.8
2017-04,57.2
2017-03,57.7
2017-02,56
2017-01,54.7
2016-12,53.2
2016-11,51.9
2016-10,51.5
2016-09,49.4
2016-08,52.6
2016-07,53.2
2016-06,51.3
2016-05,50.8
2016-04,51.8
2016-03,49.5
2016-02,48.2
2016-01,48.2
2015-12,48.6
2015-11,50.1
2015-10,50.2
2015-09,51.1
2015-08,52.7
2015-07,53.5
2015-06,52.8
2015-05,51.5
2015-04,51.5
2015-03,52.9
2015-02,53.5
2015-01,55.5
2014-12,58.7
2014-11,59
2014-10,56.6
2014-09,1900-02
2014-08,1900-02
2014-07,1900-02
2014-06,1900-02
2014-05,1900-02
2014-04,1900-02
2014-03,1900-02
2014-02,1900-02
2014-01,1900-02
2013-12,1900-02
2013-11,1900-02
2013-10,1900-02
2013-09,1900-02
2013-08,1900-02
2013-07,1900-02
2013-06,1900-02
2013-05,1900-02
2013-04,1900-02
2013-03,1900-02
2013-02,1900-02
2013-01,1900-02
2012-12,1900-02
2012-11,1900-02
2012-10,1900-02
2012-09,1900-02
2012-08,1900-02
2012-07,1900-02
2012-06,1900-02
2012-05,1900-02
2012-04,1900-02
2012-03,1900-02
2012-02,1900-02
2012-01,1900-02
2011-12,1900-02
2011-11,1900-02
2011-10,1900-02
2011-09,1900-02
2011-08,1900-02
2011-07,1900-02
2011-06,1900-02
2011-05,1900-02
2011-04,1900-03
2011-03,1900-03
2011-02,1900-02
2011-01,1900-02
2010-12,1900-02
2010-11,1900-02
2010-10,1900-02
2010-09,1900-02
2010-08,1900-02
2010-07,1900-02
2010-06,1900-02
2010-05,1900-02
2010-04,1900-02
2010-03,1900-02
2010-02,1900-02
2010-01,1900-02
2009-12,1900-02
2009-11,1900-02
2009-10,1900-02
2009-09,1900-02
2009-08,1900-02
2009-07,1900-02
2009-06,1900-02
2009-05,1900-02
2009-04,1900-02
2009-03,1900-02
2009-02,1900-02
2009-01,1900-02
2008-12,1900-02
2008-11,1900-02
2008-10,1900-02
2008-09,1900-02
2008-08,1900-02
2008-07,1900-02
2008-06,1900-02
2008-05,1900-02
2008-04,1900-02
2008-03,1900-02
2008-02,50.3
2008-01,49
2007-12,50.5
2007-11,51.1
2007-10,51
2007-09,50.9
2007-08,52.4
2007-07,52.6
2007-06,52.5
2007-05,52.6
2007-04,50.7
2007-03,51.9
2007-02,49.5
2007-01,51.4
2006-12,50.3
2006-11,51.4
2006-10,52.2
2006-09,53.7
2006-08,53
2006-07,52
2006-06,53.7
2006-05,55.2
2006-04,54.3
2006-03,55.8
2006-02,55
2006-01,55.1
2005-12,56.7
2005-11,57.2
2005-10,56.8
2005-09,52.4
2005-08,52.8
2005-07,52.4
2005-06,50.8
2005-05,52.2
2005-04,55.2
2005-03,55.5
2005-02,56.8
2005-01,57.2
2004-12,56.2
2004-11,56.3
2004-10,57.4
2004-09,58.5
2004-08,59.9
2004-07,60.5
2004-06,61.4
2004-05,60.6
2004-04,60.6
2004-03,59.9
2004-02,60.8
2004-01,60.1
2003-12,58.4
2003-11,55.2
2003-10,52.4
2003-09,53.2
2003-08,51
2003-07,49
2003-06,49
2003-05,46.1
2003-04,46.3
2003-03,48.8
2003-02,51.3
2003-01,51.6
2002-12,48.5
2002-11,49
2002-10,50.5
2002-09,50.3
2002-08,50.2
2002-07,53.6
2002-06,53.1
2002-05,52.4
2002-04,52.4
2002-03,50.7
2002-02,47.5
2002-01,45.3
2001-12,44.1
2001-11,40.8
2001-10,46.2
2001-09,46.3
2001-08,43.5
2001-07,43.2
2001-06,41.3
2001-05,42.7
2001-04,43.1
2001-03,42.1
2001-02,42.3
2001-01,43.9
2000-12,48.5
2000-11,48.7
2000-10,49.7
2000-09,49.9
2000-08,52.5
2000-07,51.4
2000-06,53.2
2000-05,54.7
2000-04,54.9
2000-03,55.8
2000-02,56.7
2000-01,57.8
1999-12,58.1
1999-11,57.2
1999-10,57
1999-09,54.8
1999-08,53.6
1999-07,55.8
1999-06,54.3
1999-05,52.3
1999-04,52.4
1999-03,51.7
1999-02,50.6
1999-01,46.8
1998-12,48.2
1998-11,48.7
1998-10,48.7
1998-09,49.3
1998-08,49.2
1998-07,48.9
1998-06,50.9
1998-05,52.2
1998-04,52.9
1998-03,52.9
1998-02,53.8
1998-01,54.5
1997-12,55.7
1997-11,56.4
1997-10,53.9
1997-09,56.3
1997-08,57.7
1997-07,54.9
1997-06,56.1
1997-05,53.7
1997-04,53.8
1997-03,53.1
1997-02,53.8
1997-01,55.2
1996-12,53
1996-11,50.5
1996-10,51.1
1996-09,51.6
1996-08,49.7
1996-07,53.6
1996-06,49.1
1996-05,49.3
1996-04,46.9
1996-03,45.9
1996-02,45.5
1996-01,46.2
1995-12,45.9
1995-11,46.7
1995-10,48.1
1995-09,47.1
1995-08,50.7
1995-07,45.9
1995-06,46.7
1995-05,51.5
1995-04,52.1
1995-03,55.1
1995-02,57.4
1995-01,56.1
1994-12,59.2
1994-11,59.4
1994-10,59
1994-09,58
1994-08,58.5
1994-07,58.8
1994-06,58.2
1994-05,57.4
1994-04,56.9
1994-03,56.5
1994-02,56
1994-01,55.6
1993-12,53.8
1993-11,53.4
1993-10,50.8
1993-09,50.7
1993-08,50.2
1993-07,49.6
1993-06,51.2
1993-05,50.2
1993-04,53.5
1993-03,55.2
1993-02,55.8
1993-01,54.2
1992-12,53.6
1992-11,50.3
1992-10,49.7
1992-09,53.4
1992-08,53.9
1992-07,53.6
1992-06,55.7
1992-05,52.6
1992-04,54.6
1992-03,52.7
1992-02,47.3
1992-01,46.8
1991-12,49.5
1991-11,53.1
1991-10,54.9
1991-09,52.9
1991-08,50.6
1991-07,50.3
1991-06,44.5
1991-05,42.8
1991-04,40.7
1991-03,39.4
1991-02,39.2
1991-01,40.8
1990-12,41.3
1990-11,43.2
1990-10,44.5
1990-09,46.1
1990-08,46.6
1990-07,49.2
1990-06,49.5
1990-05,50
1990-04,49.9
1990-03,49.1
1990-02,47.2
1990-01,47.4
1989-12,46.8
1989-11,46.8
1989-10,46
1989-09,45.1
1989-08,45.9
1989-07,47.3
1989-06,49.3
1989-05,52.2
1989-04,51.5
1989-03,54.1
1989-02,54.7
1989-01,56
1988-12,55.6
1988-11,55.4
1988-10,54.5
1988-09,56
1988-08,58.2
1988-07,59.3
1988-06,55.5
1988-05,55.8
1988-04,54.6
1988-03,56.2
1988-02,57.5
1988-01,61
1987-12,58.8
1987-11,60.7
1987-10,60
1987-09,59.3
1987-08,57.5
1987-07,57.4
1987-06,57.2
1987-05,55.5
1987-04,55
1987-03,52.6
1987-02,54.9
1987-01,50.5
1986-12,51.2
1986-11,51.2
1986-10,52.4
1986-09,52.6
1986-08,48
1986-07,50.5
1986-06,53.4
1986-05,49.7
1986-04,51
